name,rating,genre,year,released,score,votes,director,writer,star,country,company,runtime,log_budget,budget_vote_ratio,budget_runtime_ratio,budget_score_ratio,vote_score_ratio,budget_year_ratio,vote_year_ratio,score_runtime_ratio,budget_per_minute,votes_per_year,is_recent,is_high_budget,is_high_votes,is_high_score,actual_revenue,predicted_revenue
4073,5,4,0.8860284784367883,883,-1.1348520254362282,-0.33660201636958037,1698,102,1786,47,1397,0.15718540432144726,1.005608590699812,0.12221932744612653,0.8736353246226951,1.360168263014108,-0.2907966312807697,-0.3824913226965708,-0.18921919431539783,-1.1881331067173275,0.8736353246226951,-0.18921919431539783,1.7305610541872576,1.7145495713329897,-0.5798353399409327,-0.5784152954945421,18.060025991069526,17.997518726156212
2110,4,4,-0.44225291104434344,1689,-1.238732894537065,-0.49930042584101186,990,1165,1712,47,1423,-0.17404961096584723,0.39032531615939053,0.15275888075472527,-0.05268792834875151,1.1626806948159822,-0.5196286223600612,-0.14865532745978524,-0.2042556020175408,-1.018126045359752,-0.05268792834875151,-0.2042556020175408,-0.5778472811348693,-0.5832435624608637,-0.5798353399409327,-0.5784152954945421,17.90864804196049,17.34401736004457
5172,5,6,0.03213329948463219,374,1.1505270947821942,-0.40710466047386734,1427,2270,989,32,1285,-0.3948729544907102,-1.3491685974297416,-0.4118919291412535,-0.8197848714849745,-1.3417091821936258,-0.47115689348659384,-0.32890927864961483,-0.18592641895501627,1.379643450520701,-0.8197848714849745,-0.18592641895501627,-0.5778472811348693,-0.5832435624608637,-0.5798353399409327,1.7288616116989184,17.53061747057999,15.73520699566966
820,5,4,0.03213329948463219,948,0.8388844874796823,0.5690857963547218,1635,281,1441,47,1011,0.2675970760838788,0.6583086097241119,-0.3611991419640872,0.21350100489083437,-0.4128132076533631,0.6052870477953987,-0.26326982364877816,0.12499794294330589,0.36347451868259506,0.21350100489083437,0.12499794294330589,-0.5778472811348693,1.7145495713329897,1.7246275470237273,1.7288616116989184,19.54163078690228,19.018499388923736
654,4,2,0.9809057205425834,1382,0.7350036183788443,1.4530804878161663,1232,336,995,47,1423,-0.8365196415404362,1.7695337710644294,-0.2405885253247352,4.72408444184288,0.08349695066331007,1.6005379067342926,-0.3751941621546047,0.2060790602127505,1.5758424694338693,4.72408444184288,0.2060790602127505,1.7305610541872576,1.7145495713329897,1.7246275470237273,1.7288616116989184,20.105194974399108,20.41302374788971
4358,4,6,0.7911512363309932,1666,-0.4076859417303664,-0.17390360689814882,1071,2247,1268,47,1367,-0.06363793920341573,0.020881794659922095,-0.34542723199220865,-0.3872561538069436,0.21062005905335474,-0.12320242289858205,-0.39561578781170537,-0.14864892825430345,-0.3813789935436787,-0.3872561538069436,-0.14864892825430345,-0.5778472811348693,-0.5832435624608637,-0.5798353399409327,-0.5784152954945421,18.305685608488282,17.94622321230971
3768,4,0,0.7911512363309932,518,0.4233610110763324,1.105990547610446,1047,880,777,47,1423,0.9300671066584677,1.7030679432961493,-0.21898286023858846,2.9498400898564614,0.27985730037595313,1.2897931999876115,-0.3548069207277029,0.15380580944893896,-0.5368978587337798,2.9498400898564614,0.15380580944893896,-0.5778472811348693,1.7145495713329897,1.7246275470237273,-0.5784152954945421,19.807134724832345,19.949063918566274
840,4,1,1.5501691731773541,387,0.9427653565805192,-0.23355969037100704,1216,2,550,46,19,-0.22925544684706298,1.0598400231387348,0.0013511627260733012,1.1296057751309678,-0.3248052159967762,-0.27804864030394466,-0.44134001785430166,-0.18167446186922726,0.9871870201292098,1.1296057751309678,-0.18167446186922726,1.7305610541872576,1.7145495713329897,-0.5798353399409327,1.7288616116989184,19.10248573437225,18.575381745335925
35,5,4,0.6013967521194029,909,-0.3038050726295294,0.2274191364647156,99,98,972,47,682,0.15718540432144726,0.3395952000085626,-0.3670299244368032,-0.15024647741039504,0.26809130244836527,0.3757947291177805,-0.3652422619625994,-0.03993492259241327,-0.48829821336187346,-0.15024647741039504,-0.03993492259241327,-0.5778472811348693,-0.5832435624608637,1.7246275470237273,-0.5784152954945421,18.907144115353034,18.428030080073935
1939,4,4,-1.2961480899964997,1734,-2.2775415855454386,-0.6188891800828298,1506,2102,1462,47,476,-0.33966711860949445,-0.31773251387398016,5.476827631620315,-0.5563199882167226,2.058211219207358,-0.6912483180627295,0.3597128201601193,-0.2508314956440541,-1.8293653208961722,-0.5563199882167226,-0.2508314956440541,-0.5778472811348693,-0.5832435624608637,-0.5798353399409327,-0.5784152954945421,12.464660557777577,15.020255535708724
2373,5,4,-1.4859025742080898,1630,0.5272418801771703,-0.542686668366727,444,731,341,47,914,-0.45007879037192594,-0.9254937215810581,-0.2765591644742332,-0.747848776715847,-0.8409452953158152,-0.6077425704833903,0.6018187501922999,-0.16988667012692826,0.868931090954956,-0.747848776715847,-0.16988667012692826,-0.5778472811348693,-0.5832435624608637,-0.5798353399409327,-0.5784152954945421,15.919644834185693,16.13896470207436
1725,6,1,0.6013967521194029,128,0.21559927287465747,0.091837128571856,1013,1583,867,47,1044,0.32280291196509453,-0.38064959954029304,-0.4104148069548592,-0.6190062763411966,-0.4233133703652782,0.14495644023440182,-0.383920001411504,-0.07418425364443154,-0.20151804510643137,-0.6190062763411966,-0.07418425364443154,-0.5778472811348693,-0.5832435624608637,1.7246275470237273,-0.5784152954945421,17.588176985845838,17.816033030802114
1260,6,5,0.12701054159042732,1973,0.8388844874796823,-0.1467872053195769,702,1110,496,47,749,-1.498989672115025,-1.47033777811818,-0.43502256115299803,-0.813272376044018,-1.2280187616475202,-0.1779620456665959,-0.34884277898401017,-0.10934690019117027,2.778309169952765,-0.813272376044018,-0.10934690019117027,-0.5778472811348693,-0.5832435624608637,-0.5798353399409327,1.7288616116989184,16.11929722877447,16.454470317007683
3180,5,0,0.03213329948463219,1066,-0.19992420352869145,0.07556728762471285,1629,1095,1191,47,1367,-0.3948729544907102,0.8844393744522534,-0.24834739707959216,0.7682357273545831,0.4225951209749609,0.17163208885210998,-0.2558759164588072,-0.03219159557195699,0.13091844472959546,0.7682357273545831,-0.03219159557195699,-0.5778472811348693,1.7145495713329897,1.7246275470237273,-0.5784152954945421,18.22405964225028,18.792987357468142
