Movie ID,Title,Genre,Director,Cast,Release Date,Budget (in millions),Runtime (in minutes),Box Office Revenue (in millions)
354,Teenage Mutant Ninja Turtles ,Superhero/Comedy ,Jonathan Liebesman ,"Megan Fox, Will Arnett ",2014-08-08,125,101,485
355,Alvin and the Chipmunks:The Squeakquel ,Live-action/Animation/Jukebox,Betty Thomas ,"Zachary Levi, David Cross ",2009-12-23,70,88,443.1
356,Detective Pikachu ,Fantasy ,Rob Letterman,"Ryan Reynolds, Justice Smith ",2019-05-10,150,104,450.1
357,Sonic the Hedgehog 2,Action/Adventure/Conedy,Jeff Fowler ,"Ben Schwartz, James Marsden ",2022-08-19,90,122,405.4
358,Alvin and the Chipmunks ,Live-action/Animation/Jukebox,Tim Hill,"Jason Lee, David Cross",2007-12-14,60,92,361.3
359,Who Framed Roger Rabbit ,Fantasy/Comedy ,Robert Zemeckis ,"Bob Hoskins, Christopher Lloyd ",1988-12-22,50.6,104,351.5
360,Peter Rabbit ,Comedy ,Will Gluck ,"Rose Byrne, Domhnall Gleeson ",2018-03-22,50,95,351.3
361,Mary Poppins Returns,Musical/Fantasy,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda ",2016-12-19,130,131,349.5
362,The Smurfs 2,Fanstasy/Comedy ,Raja Gosnell,"Neil Patrick Harris, Jayma Mays",2013-07-31,105,105,347.5
363,Alvin and the Chipmunks:Chipwrecked ,Live-action/Animation/Jukebox,Mike Mitchell,"Jason Lee, David Cross",2011-12-16,80,87,342.7
364,Enchanted ,Live-action/Animation/Musical ,Kevin Lima ,"Amy Adams, Patrick Dempsey ",2007-11-21,25,107,340.5
365,Sonic the Hedgehog ,Action/Adventure/Comedy,Jeff Fowler ,"James Marsden, Jim Carrey ",2020-06-26,85,99,320
366,Stuart Little ,Live-action/Animation/Comedy,Rob Minkoff,"Geena Davis, Hugh Laurie ",1999-12-17,105,84,300.1
367,G-Force ,Spy/Adventure/Comedy,Hoyt H.Yeatman Jr.,"Bill Nighy, Will Arnett",2009-07-24,150,90,292.8
368,Casper ,Supernatural/Fantasy/Comedy ,Brad Silberling ,"Malachi Pearson, Christina Ricci ",1995-05-26,55,101,288
369,Stuart Little 2,Live-action/Animation/Comedy,Rob Minkoff,"Geena Davis, Hugh Laurie ",2002-07-19,120,78,170
370,Stuart Little 3:Call of the Wild ,Live-action/Animation/Comedy,Audu Paden ,"Michael J. Fox, Geena Davis ",2006-02-21,110,75,180
371,Paddington ,Live-action/Animation/Comedy,Paul King ,"Hugh  Bonneville, Sally Hawkins ",2014-12-03,65,95,282.8
372,Scooby-Doo,Mystery/Adventure ,Raja Gosnell,"Freddie Prinze Jr, Sarah Michelle Gellar ",2002-06-14,84,86,275.7
373,Space Jam ,Live-action/Animation/Comedy,Joe Pytka ,"Michael Jordan, Billy West",1996-11-15,80,88,250.2
374,Teenage Mutant Ninja Turtles:Out of the Shadows ,Superhero/Comedy ,Drave Green ,"Megan Fox, Will Arnett ",2016-05-22,135,112,245.6
375,Alvin and the Chipmunks:The Road Chip,Live-action/Animation/Jukebox,Walt Becker ,"Jason Lee, David Cross",2015-12-18,90,92,234.8
376,Paddington 2,Live-action/Animation/Comedy,Paul King ,"Hugh Bonneville, Sally Hawkins ",2017-12-06,40,104,227.3
377,Ted 2,Fantasy/Comedy,Seth MacFarlane ,"Mark Wahlberg, Seth MacFarlane ",2015-06-26,68,115,215.9
378,Yogi Bear ,Live-action/Animation/Comedy,Eric Brevig ,"Dan Aykroyd, Justin Timberlake ",2010-12-17,80,80,200
379,Garfield:The Movie,Comedy ,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt",2004-06-11,50,84,208.1
380,Christopher Robin ,Live-action/Animation/Fantasy,Marc Forster ,"Ewan McGregor, Hayley Atwell",2018-08-03,65,104,197.7
381,The Big ,Fantasy/Adventure ,Steven Spielberg ,"Mark Rylance, Ruby Barnhill",2016-07-22,140,118,195.2
382,IF,Fantasy/Comedy ,John Krasinski ,"Cailey Fleming, Ryan Reynolds",2024-05-17,110,104,190.3
383,Scooby-Doo 2:Monsters Unleashed ,Mystery/Adventure/Comedy,Raja Gosnell,"Freddie Prinze Jr, Sarah Michelle Gellar ",2004-03-26,25,92,181.2
384,Hop,Live-action/Animation/Comedy,Tim Hill,"James Marsden, Russell Brand ",2011-04-01,63,95,183.9
385,Space Jam: A New Legacy ,Live-action/Animation/Sport ,Malcolm D.Lee,"LeBron James, Don Cheadle ",2021-07-16,150,115,163.7
386,Peter Rabbit 2: The Runway ,Adventure/Comedy ,Will Gluck ,"Rose Byrne, Domhnall Gleeson ",2021-06-11,45,93,154
387,Charlotte's Web,Fantasy ,Gary Winick ,"Julia Roberts, Dakota Fanning ",2006-12-15,85,97,150
388,Pete's Dragon ,Fantasy/Adventure,David Lowery ,"Bryce Dallas Howard, Oakes Fegley ",2016-08-12,65,103,143.7
389,Garfield:A Tail of Two Kittties ,Adventure/Comedy ,Tim Hill,"Breckin Meyer, Jennifer Love Hewitt",2006-06-16,60,78,143.3
390,Tom & Jerry ,Live-action/Comedy/Animation ,Tim Story ,"Chloe Grace Moretz, Michael Pena ",2021-02-26,50,101,136
391,Walking with Dinosaurs,Live-action/Animation,"Neil Nightingale, Barry Cook ","John Leguizamo, Justin Long ",2013-12-20,80,87,126.5
392,Dora and the Lost City of Gold ,Adventure/Comedy ,James Bobin ,"Isabela Moner, Eugenio Derbez ",2019-08-09,49,102,120.6
393,The Call of the Wild ,Adventure ,Chris Sanders ,"Harrison Ford, Omar Sy ",2020-02-21,125,100,111.1
394,"Lyle,Lyle, Crocodile ",Live-action/Animation/Comedy,"Will Speck, Josh Gordon ","Javier Bardem, Constance Wu",2022-10-07,50,106,111
395,Arthur and the Minimoys ,Live-action/Animation/Fantasy,Luc Besson ,"Robert De Niro, Madonna ",2006-11-29,63,103,107.9
396,Clifford the Big Red Dog ,Live-action/Animation/Fantasy,Walt Becker ,"Jack Whitehall, Darby Camp",2021-11-10,64,96,107.4
397,Mary Poppins  ,Musical/Fantasy/Comedy,Robert Stevenson ,"Julie Andrews, Dick Van Dyke ",1964-09-24,4.4,139,103.1
398,Cheburashka ,Action/Animation,Dmitry Dyachenko ,"Olga Kuzmina, Sergei Garmash ",2023-01-01,12,113,88.212
